Periode;GUADELOUPE;MARTINIQUE;GUYANE;LA REUNION;ILE-DE-FRANCE;CENTRE-VAL DE LOIRE;BOURGOGNE FRANCHE-COMTE;NORMANDIE;HAUTS-DE-FRANCE;GRAND-EST;PAYS DE LA LOIRE;BRETAGNE;NOUVELLE-AQUITAINE;OCCITANIE;AUVERGNE RHONE-ALPES;PROVENCE-ALPES-COTE D'AZUR;CORSE; FRANCE METROPOLITAINE ; France 
2009T2;50 260;42 980;15 660;104 660;639 230;137 710;152 270;198 440;411 190;306 500;202 820;163 680;317 790;345 450;404 860;300 850;11 880; 3 592 700   ; 3 806 300   
2009T3;51 400;44 190;15 850;108 710;665 590;143 010;157 770;203 360;422 540;317 160;209 620;169 230;328 470;357 000;416 330;311 440;12 460; 3 714 000   ; 3 934 100   
2009T4;52 900;45 460;16 570;114 270;687 300;148 550;162 940;208 440;431 460;326 060;217 140;174 350;337 380;367 570;428 910;319 910;13 090; 3 823 100   ; 4 052 300   
2010T1;53 420;45 930;16 620;118 880;697 370;151 790;165 410;211 560;438 360;329 820;219 830;178 580;344 340;374 490;433 750;324 750;13 380; 3 883 400   ; 4 118 300   
2010T2;53 460;45 620;16 960;121 780;704 910;153 160;167 690;214 990;444 510;335 030;223 410;180 360;350 600;380 930;438 280;330 150;13 680; 3 937 700   ; 4 175 500   
2010T3;54 160;46 310;17 440;125 010;711 530;152 400;167 550;217 530;449 880;338 610;225 090;181 250;355 280;385 180;441 870;335 040;13 960; 3 975 200   ; 4 218 100   
2010T4;54 690;46 210;17 970;128 830;716 360;152 390;168 330;219 200;454 610;341 270;225 700;182 470;358 770;388 970;445 110;339 160;14 210; 4 006 500   ; 4 254 200   
2011T1;56 320;47 910;18 670;132 470;721 880;153 740;169 260;221 150;458 330;344 590;225 740;183 890;362 450;397 220;450 030;345 470;14 470; 4 048 200   ; 4 303 600   
2011T2;57 420;48 510;18 680;133 700;728 280;154 890;170 070;223 530;463 070;346 830;226 460;186 150;365 390;402 280;452 550;351 590;14 640; 4 085 700   ; 4 344 000   
2011T3;58 240;48 080;18 800;135 440;734 920;157 740;172 380;226 180;468 290;352 400;229 440;188 680;371 930;411 690;461 360;356 500;15 140; 4 146 700   ; 4 407 200   
2011T4;58 790;49 050;18 860;136 230;745 440;160 890;174 600;229 790;474 920;358 230;233 370;192 340;379 610;421 370;469 280;362 500;15 270; 4 217 600   ; 4 480 500   
2012T1;59 240;49 420;19 420;137 990;756 370;163 840;177 200;233 710;482 930;365 220;237 300;196 980;385 780;429 830;478 290;367 770;15 510; 4 290 700   ; 4 556 800   
2012T2;60 010;50 090;19 750;140 170;766 360;167 370;180 660;236 090;490 160;371 620;240 910;202 210;391 910;437 890;486 980;371 740;15 720; 4 359 600   ; 4 629 600   
2012T3;60 950;50 590;20 430;143 690;784 750;172 340;186 480;242 480;502 040;382 240;248 820;209 290;402 090;450 710;501 960;382 250;16 210; 4 481 700   ; 4 757 300   
2012T4;61 800;51 250;21 150;147 930;802 600;177 660;191 570;247 310;514 180;393 860;255 070;216 550;412 900;463 730;517 010;391 610;16 980; 4 601 000   ; 4 883 200   
2013T1;61 600;51 830;21 430;150 910;826 220;182 310;195 870;252 540;524 770;405 280;262 850;220 930;421 090;476 940;529 450;401 110;17 450; 4 716 800   ; 5 002 600   
2013T2;62 760;52 570;22 370;153 010;837 330;184 870;197 700;256 370;529 870;411 750;268 180;226 100;427 600;486 860;537 500;408 110;17 900; 4 790 100   ; 5 080 900   
2013T3;62 300;52 620;22 700;153 600;846 250;186 370;197 790;257 520;532 040;415 490;270 360;227 820;429 220;489 610;540 860;411 870;18 450; 4 823 600   ; 5 114 900   
2013T4;62 760;53 170;23 560;153 180;864 040;189 330;199 700;260 390;535 690;419 490;276 080;229 240;435 380;496 980;547 330;417 360;18 890; 4 889 900   ; 5 182 600   
2014T1;63 510;53 210;23 690;152 740;877 910;191 720;201 050;263 410;538 430;423 330;279 830;232 370;441 980;502 380;554 920;422 240;19 190; 4 948 800   ; 5 241 900   
2014T2;63 330;52 770;23 820;155 360;891 110;194 510;203 140;266 330;542 210;428 180;284 220;235 670;448 980;509 280;563 160;428 040;19 800; 5 014 600   ; 5 309 900   
2014T3;63 840;53 230;24 250;155 730;903 550;197 600;205 540;269 260;547 520;434 370;288 800;239 140;457 100;517 690;571 860;435 180;20 620; 5 088 200   ; 5 385 300   
2014T4;64 310;53 010;24 520;156 040;918 580;202 010;209 400;272 940;555 020;441 910;296 430;244 730;466 760;528 910;583 090;442 860;21 300; 5 183 900   ; 5 481 800   
2015T1;64 860;53 060;24 830;156 590;930 760;205 320;212 560;276 470;562 120;448 480;302 790;248 980;476 490;538 060;596 260;451 500;21 770; 5 271 600   ; 5 570 900   
2015T2;65 520;53 780;25 500;158 930;947 940;209 940;216 230;281 280;571 020;457 580;309 810;255 730;486 820;549 560;611 230;462 260;22 350; 5 381 800   ; 5 685 500   
2015T3;65 230;53 620;25 600;160 120;953 360;211 400;216 830;282 510;573 200;458 900;310 930;257 900;489 900;552 010;615 720;464 030;22 250; 5 408 900   ; 5 713 500   
2015T4;65 080;53 280;25 430;159 220;962 720;214 030;218 030;285 780;577 310;460 250;313 430;260 670;492 990;555 250;620 980;468 920;22 410; 5 452 800   ; 5 755 800   
2016T1;64 350;52 490;25 520;160 580;965 900;215 100;217 280;286 390;574 100;459 900;313 940;262 100;494 810;556 860;623 270;471 150;22 260; 5 463 100   ; 5 766 000   
2016T2;63 740;51 740;24 980;158 930;958 680;214 430;215 130;283 880;570 660;456 190;309 990;260 040;492 930;553 780;618 770;469 740;22 100; 5 426 300   ; 5 725 700   
2016T3;64 330;51 460;24 840;159 890;964 890;216 710;216 930;286 360;574 320;460 240;312 540;262 070;496 330;557 990;624 600;476 250;22 080; 5 471 300   ; 5 771 800   
2016T4;64 140;51 000;24 710;161 000;963 030;215 770;214 740;285 220;575 040;460 700;311 950;262 700;496 380;557 830;625 070;478 850;22 170; 5 469 500   ; 5 770 300   
2017T1;64 560;51 730;24 220;161 220;967 020;217 280;216 320;286 850;582 810;464 580;314 150;263 600;499 110;561 670;628 280;483 340;22 320; 5 507 300   ; 5 809 100   
2017T2;64 960;52 220;24 470;161 110;975 600;218 020;216 630;289 130;588 250;466 890;315 540;264 740;503 490;566 580;635 250;487 960;22 440; 5 550 500   ; 5 853 300   
2017T3;65 620;53 140;25 270;161 830;989 320;219 840;217 940;291 780;596 230;468 810;319 670;268 440;509 950;573 650;643 010;495 290;22 600; 5 616 500   ; 5 922 400   
2017T4;65 790;53 450;25 470;162 820;989 920;219 330;216 690;291 580;598 410;466 730;318 960;266 530;513 460;575 160;642 770;498 500;22 900; 5 620 900   ; 5 928 500   
2018T1;65 640;53 310;25 350;165 140;992 190;219 130;216 180;290 540;602 530;464 500;319 550;266 730;512 120;573 100;642 620;499 020;22 830; 5 621 000   ; 5 930 400   
2018T2;65 390;53 420;25 810;168 680;997 360;218 990;215 420;289 220;601 450;462 440;318 990;266 970;511 920;576 800;645 210;500 940;22 240; 5 627 900   ; 5 941 200   
